is_missing,feature,at-risk,fit,unhealthy
False,stress_level,0.8586378209614394,0.057706779607987785,0.08365539943057287
True,stress_level,0.8589438601152021,0.057468210744949344,0.08358792913984857
False,sleep_duration,0.8585937868940822,0.057722903357656626,0.08368330974826124
True,sleep_duration,0.8593270964091633,0.057316543638732086,0.08335635995210464
False,sleep_quality,0.858586450169923,0.05763133609916471,0.08378221373091237
True,sleep_quality,0.8596286708611202,0.058185184550239154,0.0821861445886407
False,calorie_expenditure,0.8587271571712163,0.05765220052257017,0.08362064230621356
True,calorie_expenditure,0.8580402247743742,0.057991031729513934,0.08396874349611186
False,water_intake,0.8589151746567875,0.057652901048698524,0.08343192429451401
True,water_intake,0.8550957977781356,0.058053683556823145,0.08685051866504129
False,physical_activity_level,0.858632494066265,0.05770452065674319,0.0836629852769918
True,physical_activity_level,0.8594249201277955,0.057207613118156246,0.08336746675404823
False,smoking_alcohol,0.8587556273110145,0.05767899308547466,0.08356537960351078
True,smoking_alcohol,0.8567979847456441,0.05765866629347142,0.08554334896088447
False,gender,0.858687183628302,0.057742087436351806,0.08357072893534614
True,gender,0.8582791372292145,0.05567772423150704,0.08604313853927853
False,step_count,0.8586040238282567,0.057692421454896094,0.08370355471684719
True,step_count,0.8621011784995688,0.056984765737280826,0.08091405576315033
False,bmi,0.8580561676451884,0.057179195196616336,0.08476463715819518
True,bmi,0.888760972801842,0.08195423801985897,0.029284789178299037
False,heart_rate,0.858535298385501,0.05770569655041004,0.08375900506408894
True,heart_rate,0.8708030128941657,0.05527894804034214,0.07391803906549214
False,exercise_duration,0.8587531671416464,0.057650394401532815,0.08359643845682076
True,exercise_duration,0.8508911751920012,0.06042602521373714,0.0886827995942617
False,diet_type,0.8585848384117379,0.05774700045521944,0.08366816113304264
True,diet_type,0.8675554267497464,0.05086219388494421,0.08158237936530938
